HelyreigazitasID;CimkeID
1;1
1;2
1;3
2;5
3;5
4;6
4;7
5;8
5;9
5;11
6;13
7;14
8;4
9;15
10;16
11;17
12;18
12;19
12;20
13;21
14;22
14;23
15;24
16;25
17;26
18;27
18;28
19;29
19;30
20;29
20;30
21;31
21;32
21;33
22;34
23;35
23;36
24;37
25;38
26;39
26;40
27;31
27;32
27;41
28;31
28;32
28;41
29;8
30;42
30;43
30;44
30;45
31;46
32;47
32;48
33;49
34;50
35;51
36;52
36;53
37;54
38;55
39;56
40;57
40;58
40;59
41;59
41;60
42;59
42;60
43;59
43;60
44;59
44;60
45;59
45;60
46;59
46;60
47;61
48;62
49;63
49;64
50;65
50;66
50;67
51;68
52;69
52;70
52;240
53;69
53;70
53;240
54;72
54;73
54;74
55;75
56;76
57;77
58;8
59;8
60;78
61;79
62;80
63;81
64;82
64;83
64;84
65;85
66;86
66;87
67;88
67;89
68;90
68;91
69;92
70;93
70;94
71;95
71;96
72;97
72;98
73;99
74;100
75;101
76;102
76;103
76;104
77;105
77;106
78;83
78;84
78;72
64;72
64;107
79;83
79;84
79;72
80;108
80;109
80;110
81;111
82;112
82;52
83;37
84;113
84;114
85;115
85;116
86;6
86;117
86;118
86;119
87;120
87;121
87;122
87;123
88;124
88;125
88;126
89;127
89;128
90;129
91;130
91;131
92;132
92;133
93;134
94;134
94;134
95;134
95;135
95;136
96;137
97;138
97;139
97;140
98;138
98;139
98;140
99;138
99;139
99;140
99;141
100;142
101;143
101;144
102;138
103;145
104;124
104;146
105;147
106;133
106;138
106;148
107;149
107;138
108;149
108;138
109;150
110;151
111;152
112;153
112;154
112;155
113;156
113;157
114;124
114;158
115;159
116;156
116;157
117;160
117;161
118;162
119;163
119;138
119;148
119;123
120;164
121;165
122;166
122;167
123;168
124;65
124;169
124;170
124;171
125;152
125;172
126;81
126;152
127;161
127;173
128;103
128;104
129;174
129;175
130;176
131;177
131;178
132;179
133;180
133;181
133;94
133;176
134;182
134;183
135;182
135;183
136;184
136;185
136;186
136;187
136;182
137;188
137;189
137;94
138;72
138;190
139;191
139;192
140;72
140;193
141;181
141;194
142;95
142;195
142;196
143;70
143;197
144;198
144;199
144;42
144;192
144;181
58;72
59;72
145;8
145;72
146;200
146;201
146;202
147;203
147;204
148;205
148;42
149;42
149;206
150;1
150;2
150;3
151;1
151;2
151;3
152;1
152;2
152;3
153;207
153;181
154;208
155;62
155;72
156;209
156;72
157;42
157;44
157;43
157;45
158;24
158;151
159;210
160;211
160;191
160;192
161;212
161;72
162;213
162;214
163;215
163;199
164;216
164;217
165;218
165;219
165;192
166;220
167;199
167;218
167;192
167;191
168;221
169;222
169;161
170;203
170;44
170;223
171;224
172;225
172;226
172;227
173;107
173;228
173;229
174;230
175;231
176;232
177;226
177;233
177;234
178;235
178;236
179;231
180;238
180;234
181;226
181;237
182;181
182;238
183;239
183;240
183;241
184;239
184;240
184;241
185;240
185;241
186;199
186;242
186;243
186;244
186;181
187;192
187;42
188;42
188;199
188;244
188;192
188;181
188;245
188;246
189;13
189;70
190;245
190;42
190;247
191;244
191;199
192;199
193;231
194;72
194;248
194;249
194;250
195;31
196;252
196;181
197;52
197;53
198;253
198;72
199;42
200;254
201;255
201;256
202;255
202;256
203;255
203;256
204;255
204;256
205;255
205;256
206;255
206;256
207;255
207;256
208;255
208;256
209;255
209;256
210;255
210;256
211;255
211;256
212;255
212;256
213;255
213;256
214;205
214;257
214;258
214;259
214;260
215;255
215;261
215;262
216;124
217;263
217;264
218;265
218;266
219;267
219;255
219;124
220;161
221;268
222;15
222;269
223;270
223;271
223;272
223;85
224;24
224;151
225;273
226;274
226;199
227;84
227;275
228;232
229;276
230;277
230;278
230;4
231;279
231;72
231;62
232;207
232;181
233;207
233;181
234;280
234;281
234;234
234;226
235;226
235;234
235;280
236;226
236;234
236;280
237;1
237;2
237;3
238;282
239;283
240;239
240;284
241;124
241;285
241;286
241;287
242;288
242;289
243;290
243;291
244;210
245;70
245;292
246;293
246;294
247;192
247;295
248;296
248;297
248;298
249;138
249;148
250;222
250;106
250;161
251;299
252;300
253;301
253;302
254;303
255;304
256;305
256;306
256;161
257;307
258;308
259;42
260;42
261;309
261;310
262;311
262;62
263;312
263;45
264;49
264;192
265;233
265;234
266;54
267;313
267;314
268;234
268;315
269;234
269;315
270;234
270;315
271;256
272;82
272;316
272;317
273;318
273;319
273;320
274;319
274;320
275;177
275;740
276;322
276;323
277;256
277;255
278;256
278;255
279;13
279;70
280;324
281;325
281;326
282;8
282;84
282;72
283;8
283;327
284;8
284;327
285;8
285;327
286;8
286;72
286;84
286;328
287;8
287;72
287;84
287;328
288;8
288;72
288;84
288;328
289;8
289;72
289;84
290;72
290;192
290;8
290;329
291;72
291;330
292;72
292;42
293;42
294;42
294;226
294;225
294;72
294;181
294;192
295;340
295;341
296;342
296;72
297;223
297;343
297;344
298;94
298;345
298;346
299;347
299;348
299;349
299;350
300;351
300;352
301;353
302;354
303;247
304;355
305;138
305;356
306;357
307;357
308;358
309;359
310;360
311;361
311;362
312;363
313;364
313;365
313;366
314;367
315;368
315;369
316;370
317;371
317;372
318;292
318;373
318;374
319;79
319;375
320;376
320;377
321;378
322;379
322;95
323;380
323;381
324;380
324;381
325;382
326;383
326;72
327;72
327;62
327;73
328;384
329;385
329;72
330;1
330;2
330;3
331;6
331;7
332;62
333;386
333;387
333;388
334;389
335;390
335;72
336;390
336;72
337;15
338;15
339;72
340;72
340;62
341;391
341;392
341;102
342;393
342;394
342;72
343;72
344;72
344;193
345;72
345;193
346;72
346;193
347;72
347;193
348;72
348;198
348;199
348;192
349;72
349;193
349;395
350;72
350;396
350;397
351;72
351;62
351;398
352;72
352;399
352;400
353;72
354;401
354;294
355;402
356;403
356;72
357;70
357;72
358;72
358;397
359;62
359;72
360;72
360;404
361;72
361;8
361;73
361;405
362;72
362;406
363;107
363;275
363;84
364;72
365;72
366;407
366;72
367;72
367;390
368;6
368;306
369;72
369;192
369;8
369;329
370;31
371;8
371;408
372;409
372;410
373;411
373;412
373;413
373;414
373;294
374;79
374;375
375;416
376;417
376;294
377;418
377;294
378;419
379;124
379;113
379;420
380;421
381;422
381;113
383;72
384;423
384;424
385;149
385;138
386;149
386;138
387;425
389;425
390;164
390;426
391;427
391;428
392;124
392;261
392;429
392;420
393;430
394;72
394;431
394;432
395;72
395;193
395;62
396;82
397;231
399;199
399;42
399;244
399;192
399;246
400;199
400;42
400;244
400;192
400;246
400;245
401;42
402;42
403;42
404;42
405;72
406;8
406;9
407;433
407;434
408;411
408;294
408;435
409;218
409;70
410;436
410;437
411;438
411;439
412;72
413;31
414;31
415;439
416;256
416;255
417;205
418;72
420;440
420;37
421;205
422;199
422;244
423;441
423;107
423;442
424;441
424;442
425;441
425;442
426;42
426;443
426;444
427;42
427;443
428;308
428;295
429;384
430;44
430;445
431;62
432;389
433;199
434;446
434;192
435;393
435;72
436;379
436;95
437;199
437;242
437;447
438;42
438;43
438;44
438;45
439;219
440;219
440;218
441;191
442;448
442;449
443;6
443;450
444;284
445;284
446;284
447;284
448;72
448;425
448;62
448;73
449;451
449;452
450;451
450;452
451;451
451;452
452;231
453;274
453;199
453;192
454;59
454;453
455;453
456;454
457;455
458;294
458;240
458;241
459;456
459;457
460;92
461;8
461;327
462;33
462;31
463;33
463;33
463;439
464;33
464;33
464;439
465;377
466;458
466;459
467;135
468;100
469;460
469;6
470;6
470;461
471;462
471;463
471;464
472;164
472;426
473;465
473;466
474;465
474;466
475;467
476;468
476;133
477;6
477;118
478;441
478;107
479;469
480;470
481;156
481;157
482;471
482;472
483;473
484;314
484;474
485;314
485;474
486;475
487;224
488;476
489;42
490;477
490;478
491;479
492;480
492;481
492;482
493;483
494;42
495;484
496;485
496;192
497;206
498;486
498;487
499;486
499;487
500;488
501;489
502;476
503;490
504;491
505;492
505;493
506;491
506;494
506;495
507;491
507;494
507;495
508;496
508;497
509;491
509;495
510;498
511;223
512;495
512;494
512;491
512;42
513;495
513;494
513;491
513;42
514;499
515;500
517;223
517;344
518;343
518;223
519;448
520;501
520;502
521;503
521;504
521;505
522;501
522;502
523;343
523;344
523;223
524;506
525;507
526;343
526;344
526;223
527;508
528;223
528;509
529;214
530;223
530;343
530;509
530;510
531;511
531;512
532;223
532;343
533;214
534;214
535;214
536;506
536;513
537;214
538;514
539;515
540;231
541;231
542;516
543;267
543;517
544;518
544;519
544;520
545;521
546;143
547;522
547;523
547;524
548;143
549;521
549;525
550;526
551;527
551;528
552;529
553;530
553;531
554;530
554;531
555;530
555;531
556;530
556;531
558;532
559;482
559;533
560;534
560;535
560;536
561;534
561;535
561;536
562;533
562;482
563;537
564;538
565;539
566;537
567;533
567;482
568;540
568;541
568;542
569;543
570;544
571;545
572;545
573;166
574;539
575;546
576;547
576;548
576;549
577;521
578;31
579;164
580;164
581;550
582;223
582;343
582;344
583;444
584;551
584;552
585;44
585;553
586;554
587;138
587;148
587;163
588;555
588;473
483;556
589;143
589;557
590;558
590;559
591;444
591;560
591;561
592;506
592;513
593;562
594;563
595;292
596;564
597;164
597;426
598;164
598;426
599;143
599;565
600;566
601;567
602;261
603;568
604;176
604;294
604;569
605;151
606;570
607;571
607;572
607;294
608;88
608;89
609;571
609;572
609;294
610;573
611;574
612;447
613;575
614;576
614;166
615;577
615;578
616;261
617;579
617;580
617;581
619;582
620;583
621;584
622;585
624;171
625;586
626;587
626;588
627;586
627;589
628;447
629;590
630;261
631;582
632;591
632;592
633;593
633;594
634;68
635;595
636;596
637;596
638;597
639;586
640;151
641;598
642;82
643;199
643;244
644;599
644;600
645;601
646;234
646;315
647;234
647;315
648;234
648;315
649;234
649;315
650;234
650;315
651;234
651;315
652;234
652;315
653;234
653;315
654;234
654;315
655;72
655;62
656;44
656;602
657;44
657;602
658;603
659;604
659;605
660;604
660;605
661;324
661;418
661;294
662;270
662;606
662;85
663;118
664;132
665;177
666;182
667;182
668;607
669;608
670;166
671;609
672;124
673;610
673;611
674;39
674;40
675;612
676;292
677;314
678;613
679;231
680;231
681;6
682;614
682;294
683;91
683;615
684;616
684;617
685;138
685;618
686;619
687;620
688;621
689;176
690;622
691;54
692;50
693;97
693;623
694;624
695;625
696;375
696;79
697;626
698;156
698;157
699;123
699;627
700;628
700;629
700;6
701;63
701;64
701;630
702;631
702;161
703;470
703;632
704;633
705;612
706;634
707;143
708;81
709;635
710;72
710;636
711;132
712;637
712;638
713;135
714;465
714;466
715;601
716;639
717;469
717;640
718;641
718;642
719;199
719;226
720;123
721;643
722;177
724;268
725;644
726;570
727;645
727;294
728;29
729;646
730;647
731;648
734;199
735;649
736;650
737;651
738;652
738;653
740;654
741;469
742;199
743;199
744;199
745;199
746;199
747;199
748;199
749;199
750;199
751;199
752;199
753;199
754;199
755;199
756;199
757;199
758;199
759;199
760;199
761;655
762;656
764;657
764;658
764;659
765;24
766;226
767;226
768;411
769;94
770;199
770;181
770;660
771;231
773;138
774;574
775;661
776;662
777;599
777;600
778;469
779;469
780;663
781;664
782;665
783;666
783;667
784;668
784;586
785;469
785;640
786;469
786;640
787;669
787;670
788;671
789;671
790;176
791;672
792;672
793;672
795;673
796;674
796;675
797;239
797;187
798;676
799;677
799;678
800;679
801;680
802;681
802;682
803;683
804;484
805;684
806;685
808;686
808;181
809;687
809;688
809;689
810;690
810;691
810;692
811;693
812;694
813;100
813;695
813;696
814;697
815;698
815;226
816;199
816;244
817;268
818;191
818;192
819;699
819;700
819;701
820;72
821;702
821;143
822;8
822;327
822;72
823;181
823;238
824;8
824;9
825;8
825;327
825;72
826;697
827;134
828;226
828;181
829;182
830;703
830;704
831;193
831;72
832;252
832;181
833;72
833;8
834;72
834;705
835;72
835;193
836;706
837;707
838;708
839;616
840;709
841;710
843;711
843;712
844;713
846;72
847;231
848;714
849;68
850;715
851;72
851;62
852;716
854;717
855;13
856;24
856;151
857;192
857;42
858;718
859;199
860;199
861;191
862;719
863;720
864;192
864;42
865;72
865;8
866;84
867;8
867;72
868;72
868;253
869;72
869;431
870;72
870;8
870;84
871;72
871;193
872;72
872;721
873;72
873;8
874;722
874;723
875;378
876;247
877;724
878;29
878;30
879;199
879;244
880;309
880;310
881;138
882;261
883;725
884;726
885;285
885;286
885;287
886;727
887;728
887;729
888;730
888;731
889;50
890;620
891;216
891;217
892;54
893;732
893;733
894;166
895;734
896;735
896;630
896;63
896;64
897;63
897;64
897;630
898;736
899;737
900;68
901;738
902;605
903;375
903;79
904;648
905;739
906;740
907;741
908;742
909;648
910;743
911;460
912;102
912;103
912;294
913;118
913;6
915;116
916;744
916;745
917;733
918;733
919;746
921;37
922;747
923;748
923;749
924;340
924;750
925;673
926;751
926;752
927;753
928;148
928;618
928;574
929;148
930;138
931;104
932;104
933;754
933;308
934;755
934;255
935;164
935;426
936;756
936;757
936;758
936;759
937;37
938;760
939;761
940;161
940;81
941;762
942;161
943;679
944;763
944;72
945;764
945;765
946;766
947;767
948;768
948;769
949;770
951;668
952;771
953;772
954;773
955;774
