CimkeID;CimkeSzoveg;PolitikaiPart
1;Varga Judit;0
2;Magyar Péter;0
3;Good Farming Kft.;0
4;Patek Gábor;0
5;Mártha Imre;0
6;Mészáros Lőrinc;0
7;Gianni ;0
8;Vona Gábor;0
9;Terry Black (Rácz Károly);0
11;Amanda Elstak;0
12;Rási Zoltán Zsolt;0
13;Gulyás Márton;0
14;Hende Csaba;0
15;Hintalovon Alapítvány;0
16;Beruházási Ügynökség;0
17;Klein Tamás;0
18;Göbl Richárd;0
19;Forián-Szabó Gergely;0
20;Rogán László;0
21;Krekó Péter;0
22;Libri;0
23;Kepes András;0
24;Pikó András;0
25;Classens Péter;0
26;Kukaholding;0
27;Matolcsy Ádám;0
28;Somlai Bálint;0
29;Kövér László;0
30;Veress László;0
31;Index.hu;0
32;Indamedia;0
33;Bodolai László;0
34;Központi Érkeztető Rendszer (KÉR);0
35;Sasvári Viktor;0
36;Hernádi Zsolt;0
37;Terrorelhárítási Központ (TEK);0
38;Keszthely Város Önkormányzata;0
39;Rádi Péter;0
40;Nemzeti Választási Bizottság (NVB);0
41;Balogh Ákos Gergely;0
42;Gyurcsány Ferenc;0
43;Alföldi Róbert;0
44;Karácsony Gergely;0
45;Színház- és Filmművészeti Egyetem (SZFE);0
46;PPD;0
47;Dobrev Klára;0
48;Petar Dobrev;0
49;Gréczy Zsolt;0
50;Maruzsa Zoltán;0
51;Marton Péter;0
52;Civil Összefogás Fórum (CÖF);0
53;Civil Összefogák Közalapítvány (CÖKA);0
54;Janurik Lajos;0
55;Németh Sándor;0
56;Ujhelyi István;0
57;Vasvári Csaba;0
58;Vadász Viktor;0
59;Országos Bírói Tanács (OBT);0
60;Hilbert Edit;0
61;Kobra Ottó;0
62;Jakab Péter;0
63;Csendes Richárd;0
64;Illés Boglárka;0
65;Spéder Zoltán;0
66;Heinrich Pecina;0
67;Mediaworks;0
68;Ferencvárosi Torna Club (FTC);0
69;Németh Sándor;0
70;Soros György;0
72;Jobbik Magyarországért Mozgalom (Jobbik);1
73;Szabó Gábor (Jobbik választmányi elnök);0
74;Tóth Péter;0
75;Nagy Blanka;0
76;"Földes László ""Hobo""";0
77;Fördős Attila;0
78;Alexander Rovt;0
79;Szabó Zsolt;0
80;Ferencvárosi Önkormányzat;0
81;Rákay Philip;0
82;Hadházy Ákos;0
