HelyreigazitasID;SajtotermekID;CikkCim;CikkURL;CikkDatum;CikkIdo;HelyreigazitasSzoveg;HelyreigazitasURL;HelyreigazitasDatum;HelyreigazitasIdo;HelyreigazitasJelolve
1;2;Varga Judit férje állt az élére annak a cégnek, amellyel a kormány külföldi termőföldeket akart meghódítani;https://444.hu/2022/10/27/varga-judit-ferje-allt-az-elere-annak-a-cegnek-amellyel-a-kormany-kulfoldi-termofoldeket-akart-meghoditani;2022/10/27;14:12;"

A portálunkon 2022. október 27. napján megjelent “Varga Judit férje állt az élére annak a cégnek, amellyel a kormány külföldi termőföldeket akart meghódítani” című cikkünkben valótlanul állítottuk, hogy a Good Farming Kft-t – melynek ügyvezetője Magyar Péter, Varga Judit igazságügyi miniszter férje lett - külföldi termőföldek vásárlására hozták volna létre. Ezzel szemben a valóság az, hogy a Good Farming Kft. céljai között korábban sem szerepelt és jelenleg sem szerepel külföldi termőföldek vásárlása. A cikkben megfogalmazott állításainkkal szemben, a nyilvános céginformációs rendszerben is elérhető adatok szerint a Good Farming Kft. feladata vagyonkezelés. A hivatkozott társaság a Magyarországon bejegyzett és működő Gyulai Agrár Zrt.-ben megvásárolt tulajdoni részesedést kezeli.

Valótlanul keltettük továbbá azt a látszatot, hogy az Európa Agrár-és Élelmiszeripari Magántőkealapnak célja lenne vagy feladatai között szerepelne külföldi termőföldek vásárlása. Ezzel szemben a valóság az, hogy az Európa Agrár-és Élelmiszeripari Magántőkealap sem a múltban nem vásárolt külföldön termőföldet, sem a jövőben nem tervez ilyen befektetéseket. Az Európa Agrár-és Élelmiszeripari Magántőkealap befektetési döntéseinek fókuszában a következők állnak: mezőgazdasági technológiai innovációk, élelmiszer- és agrárellátásbiztonság, olcsóbb, környezettudatos termelés, vegyszermentes módon, továbbá, egészséges élelmiszerek előállítása a legmagasabb szintű állatvédelmi előírásokat betartva. Az Alap célja, hogy a közép-európai régióban zöld, innovatív, fenntartható és versenyképes élelmiszeripari befektetéseket valósítson meg az értéklánc bármely területén.

Valótlanul állítottuk, hogy az Európa Agrár-és Élelmiszeripari Magántőkealapot az EXIM Bank indította el 60 millió euróval. Állításunkkal szemben az Európa Agrár-és Élelmiszeripari Magántőkealap befektetési jegyeit piaci és állami szereplők közösen jegyezték le.
";https://444.hu/2022/11/28/helyreigazitas;2022/10/28;12:22;0
2;10;Úgy él, mint egy amerikai milliárdos a fővárosi közműcégek csúcsvezetője - Fotók!;https://metropol.hu/aktualis/ugy-el-mint-egy-amerikai-milliardos-fovarosi-kozmucegek-csucsvezetoje-martha-imre-561566/;2021/12/20;07:30;"Valótlanul állítottuk, hogy Mártha Imre ellen négy ügyben is büntetőeljárás indult különösen nagy vagyoni hátrányt okozó hűtlen kezelés bűntette miatt.

A valóság ezzel szemben az, hogy Mártha Imre ellen egy ügyben sem indult büntetőeljárás.

Cikkünkben valótlanul híreszteltük, hogy egy Mártha Imre által közösségi oldalra feltöltött és általunk közölt fotón Mártha Imre „Home Office” feliratot helyezett el.

A valóság ezzel szemben az, hogy a Mártha Imre által a közösségi oldalra feltöltött fotón ilyen felirat nem látható, az általunk ilyen felirattal közzétett kép manipulált, azon e felirat utólag került elhelyezésre.";https://metropol.hu/kozelet/helyreigazitas-martha-imrerol-864109/;2022/11/16;12:00;0
3;10;Legalább 50 milliárdos ingatlanbirodalmat rejteget a fővárosi közműcégek csúcsvezetője;https://metropol.hu/aktualis/martha-imre-50-milliardos-ingatlanbirodalom-fovarosi-kozmucegek-csucsvezetoje-574477/;2022/01/05;07:30;"A Metropol.hu 2022. január 5. napján „Legalább 50 milliárdos ingatlanbirodalmat rejteget a fővárosi közműcégek csúcsvezetője” címmel megjelent cikkének címével valótlanul állítottuk, hogy Mártha Imre legalább 50 milliárd forint vagyonnal rendelkezik.

Cikkünkben valótlanul állítottuk azt is, hogy Mártha Imre ellen három ügyben indult korábban büntetőeljárás. A valóság ezzel szemben az, hogy Mártha Imre ellen egyetlen ügyben sem indult büntetőeljárás.

Cikkünkben valótlanul állítottuk azt is, hogy Mártha Imre egy részvénytársaság révén elsődlegesen tulajdonolja és irányítja az ugyancsak több milliárdot érő balatonalmádi kikötőt és a Vitorlás Kikötő Zrt. aranyrészvényese. A valóság ezzel szemben az, hogy Mártha Imre és egy általa tulajdonolt gazdasági társaság a kikötőt tulajdonló cég részvényeinek 3,45 %-át tulajdonolja, Mártha Imrének a többi részvénytulajdonossal szemben semmilyen tulajdonosi előjoga, többletjoga nincsen, „aranyrészvénnyel” – mivel ilyen a Vitorlás Kikötő Zrt-ben nincs – Mártha Imre nem rendelkezik.

Cikkünkben valótlanul híreszteltük azt, hogy Mártha Imre egy magánnyomozó közreműködésével próbálja kideríteni, hogy ki lehet az, aki széles körben elérhetővé tette a fővárosi közműcégek dolgozói számára Mártha posztjait.";https://metropol.hu/kozelet/2022/07/helyreigazitas-martha-imre-kozmucegek-csucsvezetoje;2022/07/11;15:41;0
4;1;Gianni elegáns éttermét vásárolta meg Mészáros Lőrinc;https://telex.hu/belfold/2022/08/08/meszaros-lorinc-etterem-naphegy-ter;2022/08/08;15:02;"Gianni elegáns éttermét vásárolta meg Mészáros Lőrinc” című cikkünkben valótlanul állítottuk, hogy Mészáros Lőrinc megvette Gianni naphegyi éttermét. A valós tény ezzel szemben az, hogy a Gian Luigi Annoni kisebbségi tulajdona mellett működő Terra étterem 2022. májusában a Naphegy utca 67 szám alatt bezárt. Sem az éttermet, sem az azt üzemeltető társaságot sem Mészáros Lőrinc, sem más nem vette meg Gian Luigi Annonitól.

A hibáért elnézést kérünk az érintettektől.";;;;1
5;13;Vona nem vállalta a szembesítést;https://www.borsonline.hu/celeb/2018/01/vona-nem-vallalta-a-szembesitest;2018/01/08;08:30;"Az általunk szerkesztett borsonline.hu internetes portálon 2018. január 18. napján közzétett „Vona nem vállalta a szembesítést” című cikkünkben azt a valós tényt, hogy Vona Gábor személyesen nem jelent meg a Budapest Környéki Törvényszéken az általa a Terry Black néven ismert Rácz Károly Mihállyal és az Amanda Elstak néven ismert Rási Zoltán Zsolttal szembeni személyiségi jogi per 2018. január 17-én megtartott tárgyalásán, abban a hamis színben tüntettük fel, hogy nem vállalta a szembesítést fenti személyekkel az általuk róla a korábbi homoszexuális kapcsolatok fennállásának állítása miatt.

Valótlanul állítottuk továbbá, hogy a bíróság korábban elrendelte Vona Gábor és az általa beperelt személyek közötti szembesítést.

A valóság ezzel szemben az, hogy Vona Gábor az általa indított per 2017. március 20. napján megtartott első tárgyalásán megjelent, személyes meghallgatását a bíróság foganatosította, további személyes megjelenését a bíróság nem rendelte el, szembesítést a bíróság nem rendelt el, a január 17-én megtartott tárgyalásra Vona Gábor jogi képviselőjét idézte a Budapest Környéki Törvényszék.";;;;1
6;11;Újabb blokádra készíthet fel a józsefvárosi Soros-iskola;https://magyarnemzet.hu/belfold/2021/06/ujabb-blokadra-keszithet-fel-a-jozsefvarosi-soros-iskola;2022/05/11;05:50;A 2021. június 11. napján »Újabb blokádra készíthet fel a józsefvárosi Soros-iskola« címmel megjelent cikkünkben valótlanul állítottuk, hogy Gulyás Márton a négynapos SZFE-tábor egyik szervezője volt.;https://magyarnemzet.hu/belfold/2022/05/helyreigazitas-az-ujabb-blokadra-keszithet-fel-a-jozsefvarosi-sorosiskola-cimu-cikk-miatt;2022/05/18;13:38;1
7;1;Fideszes fellegvár volt, de most itt jöhet a legszorosabb csata;https://telex.hu/video/2022/03/26/szombathely-csatater-hende-csaba-czegledy-csaba-fidesz-dk;2022/03/26;19:30;"A Telex.hu internetes felületén 2022. március 26-án 19.30 perckor a ,,Fideszes fellegvár volt, de most itt jöhet a legszorosabb csata"" címmel közölt tudósításban valótlanul állítottuk azt, hogy Hende Csaba Szombathely működési kiadásainak kompenzációja vonatkozásában nem mondott igazat. Hende Csaba a város 2021-es kompenzációja vonatkozásában mindenben a valóságnak megfelelően nyilatkozott, ennek megfelelően a cikk tényállítása valótlan. Nemény András polgármesternek a tudósításban szereplő nyilatkozata ebben a témakörben a 2020-as költségvetési évre vonatkozhat, melyet tudósításunk a Hende Csaba által tett nyilatkozattal kapcsolatos tényállítás megfogalmazásakor elmulasztott figyelembe venni.

A tévedésért minden érintettől és az olvasóktól elnézést kérünk.";;;;1
8;1;A kispesti polgármester korábbi kabinetfőnöke is érintett lehet az újabb Anonymous-videókban ;https://telex.hu/belfold/2022/03/16/anonymus-patek-gabor-video-kispest;2022/03/16;10:03;Cikkünk egy korábbi verziójában hivatkoztunk a Magyar Nemzet cikksorozatának egyik részére, ám mivel a hivatkozott hangfelvétel már nem elérhető a Magyar Nemzet oldalán, így ehhez kapcsolódóan az alábbi helyreigazítást tesszük. A Magyar Nemzet cikkével kapcsolatban valótlanul híreszteltük, hogy Patek nagyon fel tudja gyorsítani az eseményeket, ha arról van szó, hogy szegény embereket ki kell tenni önkormányzati lakásokból. A hibáért elnézést kérünk.;;2022/05/04;09:06;1
9;11;Melegpropaganda költözik az óbudai óvodákba ;https://magyarnemzet.hu/belfold/2020/10/melegpropaganda-koltozik-az-obudai-ovodakba;2020/10/06;15:23;A magyarnemzet.hu oldalon 2020. október 6-án megjelent „Melegpropaganda költözik az óbudai óvodákba” című cikkünkben valótlanul állítottuk, hogy a Hintalovon Alapítvány jelenleg a Háttér Társaság a Melegekért szervezettel együtt a vidéki iskolákban terjeszkedik. Valótlanul állítottuk, hogy Óbudán gyermekvédelmi programba bújtatták az LMBTQ-propagandát azáltal, hogy az óbudai önkormányzat a Hintalovon Gyermekjogi Alapítvánnyal közösen valósítja meg az óbudai gyermekvédelmi programot. ;;2021/11/17;13:26;1
10;1;Itt az 1000 milliárd forintos lista, hogy mikre költene még nagyon sok pénzt a kormány ;https://telex.hu/belfold/2021/10/07/itt-a-lista-mire-akar-meg-milliardokat-kolteni-iden-a-kormany;2021/10/07;11:32;"Lapunk nem jól értelmezte az éves beszámoló egyik mellékletét, aminek a számai helyesek, de nem csak az idei költésekről van szó benne, hanem a következő évekéről is. A lényeg, hogy a szóban forgó beruházási összegekre a kormány kötelezettséget vállalt, azaz kvázi előre elköltötte, a szerződéseket egy esetleges következő kormány sem tudja egykönnyen felmondani.

A vári beruházások esetében a Honvéd Főparancsnokság újjáépítésére a 2139/2021-es, a József Főhercegi Palotára, neoreneszánsz kertre és istállóra a 2140/2021-es, a Külügyminisztérium épületének újjáépítésére a 2141/2021-es, a Budavári Palota teljes felmérésére és halaszthatatlan beruházásokra a 2142/2021-es, a Várgarázs III. ütemre a 2143/2021-es kormányhatározat vonatkozik, mint a Gazdaság-újraindítási Akcióterv keretében megvalósított beruházásra.

A félreértésre a Miniszterelnökségi Sajtóiroda helyreigazítási kérelemben hívta fel lapunk figyelmét, amelyben közölték, hogy a kormány a felsorolt vári beruházásokra idén csak 8,2 milliárd forintot fordít a cikkben szereplő 340 milliárd forintos összeg helyett.";;2021/10/07;18:39;1
